sample	color	PC1	PC2	PC3
PI634213	1	-10.8150189528	4.2720320501	-2.7328515692
PI634215	1	-11.3173625009	4.1309295909	-2.1262765456
PI635122	0	6.3761766574	-10.8690147585	-8.8851335014
PI635123	0	5.3392391018	-10.0780492953	-7.8326204048
PI635124	0	5.5231553648	-10.2705393313	-7.9102988573
PI635125	0	4.2693306797	-4.9887507449	-7.3415664637
PI635126	0	5.0739182477	-9.9822464868	-8.563104186
PI635127	0	5.0567597096	-6.8796512759	-6.9462759614
PI635128	1	4.7196184471	-4.9449702376	-7.5131305822
PI635130	0	3.9289242053	-9.6038601145	-10.4376252739
PI635132	0	5.3401456523	-10.7879486034	-10.4558118825
PI635133	0	5.0222888621	-10.2361962035	-10.4043147626
PI635135	0	4.3098241731	-3.0745657897	-7.1696252965
PI635136	0	3.870987404	-8.9074528807	-9.0070967681
PI635137	0	4.7354576182	-6.881959933	-5.5402591446
PI635138	0	4.6788452405	-4.9714084686	-7.4766708173
PI635139	0	5.0514267054	-6.875880876	-7.4675305272
PI635141	0	5.653919134	-8.7668034903	-6.8112214385
PI638549	1	-20.458062046	2.5841133138	3.1972406541
PI638550	1	-6.4065791158	1.5425435901	3.5964843801
PI638552	1	-8.6514764998	-1.6263607314	4.8833486139
PI638553	1	-9.5787896073	1.107066483	0.6558732092
PI638594	0	3.1105430521	-4.6753218999	-2.0722735
PI639037	1	-17.0094321388	-1.2206059902	-9.6586527367
PI639038	1	-28.8476733931	3.9586036847	-8.8649955092
PI639039	1	-15.9590037792	-0.6640667824	-9.997100418
PI639040	1	-3.2155425589	-3.0986832853	-9.63740913
PI639042	1	4.8063196257	-6.9994698298	-9.1989365699
PI639045	1	-11.3947639857	-1.9713463839	-9.6700333137
PI639046	1	-0.6211730296	-6.1752638326	-9.4073539314
PI639048	1	-9.6898314966	-2.7495190233	-11.7251666265
PI639049	1	-1.2168987478	-6.0644768319	-11.4658727401
PI639050	1	-2.9203232152	-4.5759169707	-7.2918586329
PI639052	0	-16.0683996545	1.0938763998	-3.5181454338
PI639053	1	5.2334900318	-9.9931318343	-9.3342832013
PI639055	1	-18.2488377947	0.9194592325	1.0874414896
PI639497	1	-5.5595391134	-4.4732598641	-1.5924783554
PI639499	1	-3.5216059125	-4.7577455529	11.5842168275
PI639501	1	-9.8393650707	-3.7094496457	10.8766669079
PI639502	1	1.6178189446	-6.9229490918	-0.0839973437
PI639503	1	-29.5122922249	4.3254717392	-8.9332333103
PI639504	1	-1.7308323007	-5.3143905722	4.0074929964
PI639505	1	4.2418749712	-7.2549403126	-4.3429833331
PI639925	0	4.6008593395	-6.291048632	-5.5300665432
PI639926	0	5.5503644764	-7.6556108824	-7.7767438943
PI639927	0	4.9266237906	-6.4504243468	-6.7702985655
PI639928	0	3.7447772072	-7.5472476293	-5.4720175881
PI639929	0	4.1801138651	-6.4421475304	-6.4210191547
PI639930	1	4.5943255074	-7.1029590523	-8.2294067084
PI639931	0	5.8311616379	-7.1404496651	-5.6090208707
PI639932	0	5.6057909897	-10.3811295478	-6.0053967614
PI639933	1	4.6028631769	-10.3649068689	-6.9635417317
PI639934	1	4.1136322629	-8.8815351088	-7.2524180792
PI639935	1	4.5940095693	-9.5535288226	-6.6795472195
PI639936	1	5.6408720887	-9.9285596173	-9.9891133289
PI639937	1	5.8515795854	-6.1435487648	-8.374756242
PI639938	1	5.1938557249	-6.4304055138	-7.1323669533
PI639939	1	5.3919914883	-7.3388819605	-7.9077995591
PI639940	1	5.1124664055	-5.5291484999	-2.5431503214
PI639941	1	5.0602745005	-6.9777710295	-4.9172256564
PI639942	0	5.0007619723	-8.5703964648	-7.7807402291
PI639943	0	5.2154264405	-10.3040561307	-10.1504935493
PI639944	0	4.0240493879	-10.8111562867	-9.001829786
PI639945	0	6.7592492625	-6.5547579026	-7.7719974654
PI639946	0	4.3745541547	-4.3888201045	-6.3453252218
PI639947	0	5.3008225781	-11.3576268165	-10.4830701465
PI639948	0	5.9900406968	-8.2459031618	-8.848661037
PI639949	0	4.9455060885	-5.0728512347	-5.7512543441
PI639950	0	6.7415800755	-9.0828598643	-9.215171362
PI641061	0	7.9344026004	-8.3718063542	-10.2271665503
PI641062	0	4.7497064898	-8.970343795	-9.0213589861
PI641063	0	5.7888996546	-9.9485062404	-9.728080946
PI641064	0	6.1360633532	-9.1295886641	-9.5030891512
PI641065	0	5.6128636555	-8.2944647799	-10.0661272133
PI641066	0	5.866487817	-10.3357019197	-10.6147839525
PI641067	0	6.8071667055	-7.0027223782	-8.8287548264
PI641068	1	2.9232619574	-6.1469366787	-4.5619673637
PI641069	1	-0.3427453872	-5.3940168884	-4.4142351231
PI641070	1	3.0917760582	-6.4787747138	-5.4425447125
PI641071	1	6.0855878924	-8.5075947819	-8.1670714723
PI641072	1	5.9738035906	-8.474728623	-9.5764386994
PI641073	1	5.672896468	-8.5183436369	-9.2692662321
PI641074	1	5.9376292284	-8.4897894086	-9.1911788621
PI641075	1	6.9945630271	-9.3853703423	-4.8877672362
PI641076	1	5.7590631565	-9.0550513482	-9.4545933408
PI641226	1	-1.5260758167	-7.9109978069	-5.0521202813
PI641229	1	-30.6096542079	5.8577181201	-9.3699338913
PI641230	1	2.4730783137	-7.2386116861	-5.8845724805
PI641234	1	3.2111990452	-7.7066877955	-5.6785089639
PI641238	0	1.8226442001	-5.1410010043	-3.1100205141
PI641243	1	-0.1756213373	-4.8938308965	-6.6103772481
PI641247	1	4.5176406223	-8.5838735502	-9.4594810695
PI641248	0	6.452473728	-9.1523483007	-9.8556472498
PI641251	0	5.8726305614	-7.9592737603	-8.9362998354
PI641252	0	5.2674656405	-7.4605034923	-6.8994263019
